device,hum_01,hum_02,hygro_01,lux_01,published_at,temp_01,temp_02
SYS01_1,"[98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2]","[150, 150, 150, 150, 150, 150, 150, 150, 150, 150]","[3228, 3168, 3210, 3249, 3213, 3133, 3201, 3242, 3134, 3188]","[1.15738, 1.15738, 1.17376, 1.15738, 1.14766, 1.14766, 1.16718, 1.13803, 1.18703, 1.16391]",2023-04-26T07:30:06.264Z,"[-3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7, -3276.7]","[34, 34, 34, 34, 34, 34, 34, 34, 34, 34]"
SYS01_1,"[98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3159, 3297, 3154, 3226, 3156, 3189, 3114, 3166, 3190, 3205]","[1.16064, 1.17707, 1.14123, 1.16064, 1.15413, 1.17707, 1.15413, 1.16718, 1.15413, 1.16391]",2023-04-26T07:45:03.927Z,"[19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2, 98.2]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3183, 3164, 3194, 3248, 3122, 3214, 3187, 3189, 3133, 3197]","[1.13803, 1.15089, 1.14123, 1.14123, 1.13165, 1.13165, 1.13803, 1.13165, 1.15089, 1.13803]",2023-04-26T08:00:04.597Z,"[19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3]","[34, 34, 34, 34, 34, 34, 34, 34, 34, 34]"
SYS01_1,"[98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3192, 3231, 3288, 3175, 3237, 3216, 3178, 3182, 3213, 3193]","[1.1253, 1.12847, 1.13803, 1.10648, 1.11899, 1.10648, 1.10648, 1.12214, 1.1253, 1.12847]",2023-04-26T08:15:04.253Z,"[19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3, 19.3]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3298, 3218, 3237, 3221, 3225, 3198, 3264, 3162, 3187, 3173]","[1.10028, 1.08798, 1.10028, 1.09719, 1.08493, 1.10338, 1.10338, 1.10028, 1.10338, 1.10028]",2023-04-26T08:30:03.914Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3, 98.3]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3264, 3201, 3242, 3210, 3176, 3201, 3151, 3126, 3222, 3108]","[1.10028, 1.07884, 1.10338, 1.09719, 1.10338, 1.06979, 1.10648, 1.08493, 1.09411, 1.10338]",2023-04-26T08:45:03.976Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3141, 3164, 3216, 3181, 3176, 3237, 3166, 3247, 3157, 3220]","[1.07884, 1.08188, 1.10338, 1.07884, 1.09104, 1.10338, 1.08493, 1.09719, 1.08798, 1.10028]",2023-04-26T09:00:03.630Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5, 98.5]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3207, 3139, 3148, 3194, 3233, 3200, 3148, 3087, 3245, 3195]","[1.07582, 1.09411, 1.09104, 1.08798, 1.09719, 1.09104, 1.07884, 1.08493, 1.07884, 1.10028]",2023-04-26T09:15:02.665Z,"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3272, 3198, 3127, 3202, 3213, 3260, 3178, 3115, 3162, 3218]","[1.08188, 1.09719, 1.08188, 1.08188, 1.10338, 1.09104, 1.08188, 1.09104, 1.07582, 1.09104]",2023-04-26T09:30:04.326Z,"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6, 98.6]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3207, 3237, 3245, 3259, 3211, 3176, 3186, 3214, 3211, 3162]","[1.09719, 1.10338, 1.08493, 1.09104, 1.08188, 1.10338, 1.0728, 1.10028, 1.08798, 1.08493]",2023-04-26T09:45:03.994Z,"[18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9, 18.9]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
